class_number,grade,Coding,Math,Teamwork,activity,등급
s1390,2.785714285714285,2.6999999999999997,2.5,3.5,2.785714285714285,Bronze
s1391,4.3076923076923075,4.3500000000000005,4.0,4.5,4.3076923076923075,Challenger
s1392,3.272727272727273,3.25,3.75,2.5,3.272727272727273,Silver
s1393,3.1999999999999997,3.2142857142857144,3.5,2.5,3.1999999999999997,Silver
s1394,2.4444444444444446,2.3125,0.0,3.5,2.4444444444444446,Bronze
s1395,4.0,3.875,0.0,4.5,4.0,Bronze
s1396,3.666666666666666,3.777777777777778,3.5,3.0,3.666666666666666,Gold
s1397,3.4,3.25,0.0,4.0,3.4,Bronze
s1398,3.1666666666666665,3.5,0.0,2.5,3.1666666666666665,Bronze
s1399,1.6875,1.3333333333333333,1.5,4.0,1.6875,Bronze
s140,2.980769230769231,3.2368421052631597,3.25,3.0,2.980769230769231,Silver
s1400,3.1666666666666665,3.0,0.0,3.5,3.1666666666666665,Bronze
s1401,2.9375,2.916666666666667,2.5,3.5,2.9375,Bronze
s1402,4.166666666666667,4.0,0.0,4.5,4.166666666666667,Bronze
s1403,3.3181818181818197,3.75,2.0,2.5,3.3181818181818197,Bronze
s1404,2.5,0.0,0.0,2.5,2.5,Bronze
s1405,3.5,3.5,0.0,3.5,3.5,Bronze
s1406,3.464285714285715,3.3636363636363646,3.5,4.5,3.464285714285715,Silver
s1407,2.714285714285715,2.8000000000000003,2.5,2.5,2.714285714285715,Bronze
s1408,3.423076923076922,3.5,2.5,4.5,3.423076923076922,Silver
s1409,3.8333333333333335,4.5,0.0,2.5,3.8333333333333335,Bronze
s141,4.08695652173913,4.105263157894739,4.5,3.5,4.08695652173913,Platinum
s1410,4.0,4.0,0.0,4.0,4.0,Bronze
s1411,3.363636363636364,3.5,3.25,2.5,3.363636363636364,Silver
s1412,3.928571428571428,3.875,0.0,3.0,3.928571428571428,Bronze
s1413,4.384615384615386,4.450000000000001,4.0,4.5,4.384615384615386,Dia
s1414,3.0,3.25,0.0,2.5,3.0,Bronze
s1415,3.233333333333334,3.25,3.0,3.5,3.233333333333334,Silver
s1416,3.272727272727273,3.25,3.25,3.5,3.272727272727273,Silver
s1417,3.9375,4.083333333333333,3.5,3.5,3.9375,Gold
s1418,2.857142857142857,3.3000000000000003,0.0,3.5,2.857142857142857,Bronze
s1419,3.700000000000001,3.875,2.75,3.5,3.700000000000001,Gold
s142,2.192307692307693,2.195652173913045,1.25,4.0,2.192307692307693,Bronze
s1420,2.3333333333333335,2.5,2.0,2.0,2.3333333333333335,Bronze
s1421,3.5,3.5,0.0,3.5,3.5,Bronze
s1422,2.8333333333333335,3.0,0.0,2.5,2.8333333333333335,Bronze
s1423,4.041666666666666,3.714285714285715,0.0,4.5,4.041666666666666,Bronze
s1424,3.6666666666666665,3.75,0.0,3.5,3.6666666666666665,Bronze
s1425,4.166666666666667,4.5,0.0,3.5,4.166666666666667,Bronze
s1426,3.8333333333333335,4.0,0.0,3.5,3.8333333333333335,Bronze
s1427,2.6666666666666665,2.6875,0.0,2.5,2.6666666666666665,Bronze
s1428,3.0,3.5,0.0,2.5,3.0,Bronze
s1429,3.0,2.714285714285715,0.0,4.0,3.0,Bronze
s143,3.160714285714287,3.4285714285714297,2.5,3.0,3.160714285714287,Bronze
s1430,3.0,4.0,0.0,2.0,3.0,Bronze
s1431,2.5,3.0,0.0,2.0,2.5,Bronze
s1432,2.625,2.75,1.0,3.5,2.625,Bronze
s1433,3.5625,3.666666666666667,3.5,3.0,3.5625,Silver
s1434,3.6666666666666665,3.75,0.0,3.5,3.6666666666666665,Bronze
s1435,3.6666666666666665,4.25,0.0,2.5,3.6666666666666665,Bronze
s1436,2.8333333333333335,3.0,0.0,2.5,2.8333333333333335,Bronze
s1437,2.1,2.0,0.0,2.5,2.1,Bronze
s1438,3.1666666666666665,3.5,0.0,2.5,3.1666666666666665,Bronze
s1439,2.75,3.0,0.0,2.5,2.75,Bronze
s144,4.239130434782608,4.200000000000002,3.75,4.5,4.239130434782608,Platinum
s1440,3.25,4.0,0.0,2.5,3.25,Bronze
s1441,3.3333333333333335,3.25,0.0,3.5,3.3333333333333335,Bronze
s1442,3.875,3.9444444444444433,3.75,3.5,3.875,Gold
s1443,3.1000000000000005,2.75,2.0,4.166666666666666,3.1000000000000005,Bronze
s1444,3.5,3.5,0.0,3.5,3.5,Bronze
s1445,3.6666666666666665,4.25,0.0,2.5,3.6666666666666665,Bronze
s1446,3.8333333333333335,4.5,0.0,2.5,3.8333333333333335,Bronze
s1447,3.25,4.5,0.0,2.0,3.25,Bronze
s1448,3.5,4.0,0.0,2.5,3.5,Bronze
s1449,3.5,3.5,0.0,3.5,3.5,Bronze
s145,3.648148148148149,3.785714285714288,3.625,4.5,3.648148148148149,Platinum
s1450,3.642857142857143,3.625,3.75,3.5,3.642857142857143,Gold
s1451,3.5,4.25,0.0,2.0,3.5,Bronze
s1452,3.785714285714285,3.8999999999999995,3.5,3.5,3.785714285714285,Gold
s1453,3.727272727272727,3.8125,4.0,2.5,3.727272727272727,Silver
s1454,3.0,3.1000000000000005,2.5,3.0,3.0,Bronze
s1455,3.0,3.25,0.0,2.5,3.0,Bronze
s1456,2.8333333333333335,3.0,0.0,2.5,2.8333333333333335,Bronze
s1457,1.0,0.0,0.0,2.0,1.0,Bronze
s1458,3.5,3.25,0.0,4.0,3.5,Bronze
s1459,0.0,0.0,0.0,0.0,0.0,Bronze
s146,2.5,2.5,0.0,0.0,2.5,Bronze
s1460,3.5,3.5,0.0,3.5,3.5,Bronze
s1461,4.25,4.0,0.0,4.5,4.25,Bronze
s1462,4.07142857142857,4.1000000000000005,4.5,3.5,4.07142857142857,Platinum
s1463,2.5833333333333335,2.5,3.0,2.5,2.5833333333333335,Bronze
s1464,4.142857142857143,4.2,4.5,3.5,4.142857142857143,Platinum
s1465,3.1363636363636362,3.3125,2.25,3.5,3.1363636363636362,Bronze
s1466,3.3333333333333335,3.75,0.0,2.5,3.3333333333333335,Bronze
s1467,3.5,3.5,0.0,3.5,3.5,Bronze
s1468,2.1666666666666665,2.125,2.0,2.5,2.1666666666666665,Bronze
s1469,2.75,2.875,1.5,3.5,2.75,Bronze
s147,2.9629629629629624,3.174999999999999,2.8333333333333335,3.5,2.9629629629629624,Silver
s1470,2.5,2.5714285714285716,2.0,2.5,2.5,Bronze
